Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2531","Potatoes and products","2013","2013","1000 tonnes","19","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2531","Potatoes and products","2014","2014","1000 tonnes","410","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2531","Potatoes and products","2015","2015","1000 tonnes","409","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2531","Potatoes and products","2016","2016","1000 tonnes","312","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2531","Potatoes and products","2017","2017","1000 tonnes","394","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2531","Potatoes and products","2018","2018","1000 tonnes","364","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2531","Potatoes and products","2019","2019","1000 tonnes","365","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5131","Processing","S2531","Potatoes and products","2020","2020","1000 tonnes","365","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2531","Potatoes and products","2010","2010","kg","22.59","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2531","Potatoes and products","2011","2011","kg","22.53","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2531","Potatoes and products","2012","2012","kg","22.76","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2531","Potatoes and products","2013","2013","kg","22.63","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2531","Potatoes and products","2014","2014","kg","22.35","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2531","Potatoes and products","2015","2015","kg","22.75","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2531","Potatoes and products","2016","2016","kg","22.57","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2531","Potatoes and products","2017","2017","kg","22.79","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2531","Potatoes and products","2018","2018","kg","23.35","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2531","Potatoes and products","2019","2019","kg","22.76","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","645","Food supply quantity (kg/capita/yr)","S2531","Potatoes and products","2020","2020","kg","22.36","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","684","Fat supply quantity (g/capita/day)","S2531","Potatoes and products","2010","2010","g/capita/day","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","684","Fat supply quantity (g/capita/day)","S2531","Potatoes and products","2011","2011","g/capita/day","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","684","Fat supply quantity (g/capita/day)","S2531","Potatoes and products","2012","2012","g/capita/day","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","684","Fat supply quantity (g/capita/day)","S2531","Potatoes and products","2013","2013","g/capita/day","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","684","Fat supply quantity (g/capita/day)","S2531","Potatoes and products","2014","2014","g/capita/day","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","684","Fat supply quantity (g/capita/day)","S2531","Potatoes and products","2015","2015","g/capita/day","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","684","Fat supply quantity (g/capita/day)","S2531","Potatoes and products","2016","2016","g/capita/day","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","684","Fat supply quantity (g/capita/day)","S2531","Potatoes and products","2017","2017","g/capita/day","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","684","Fat supply quantity (g/capita/day)","S2531","Potatoes and products","2018","2018","g/capita/day","0.07","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","684","Fat supply quantity (g/capita/day)","S2531","Potatoes and products","2019","2019","g/capita/day","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","684","Fat supply quantity (g/capita/day)","S2531","Potatoes and products","2020","2020","g/capita/day","0.06","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5511","Production","S2570","Oilcrops, Other","2010","2010","1000 tonnes","3294","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5511","Production","S2570","Oilcrops, Other","2011","2011","1000 tonnes","4273","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5511","Production","S2570","Oilcrops, Other","2012","2012","1000 tonnes","4094","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5511","Production","S2570","Oilcrops, Other","2013","2013","1000 tonnes","3691","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5511","Production","S2570","Oilcrops, Other","2014","2014","1000 tonnes","3808","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5511","Production","S2570","Oilcrops, Other","2015","2015","1000 tonnes","3776","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5511","Production","S2570","Oilcrops, Other","2016","2016","1000 tonnes","3504","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5511","Production","S2570","Oilcrops, Other","2017","2017","1000 tonnes","3549","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5511","Production","S2570","Oilcrops, Other","2018","2018","1000 tonnes","3705","E","Estimated value"
"FBS","Food Balances (2010-)","901","Low Income Food Deficit Countries","5511","Production","S2570","Oilcrops, Other","2019","2019","1000 tonnes","3424","E","Estimated value"
